关键词,技术领域,细分方向,产业板块,核心程度得分,匹配类型,上下文要求,来源类型
核聚变,基础与反应物理,核心概念,聚变装置与系统,5,core,无需上下文,附件论文/ITER/IAEA/资本研报
可控核聚变,基础与反应物理,核心概念,聚变装置与系统,5,core,无需上下文,附件论文/ITER/IAEA/资本研报
受控核聚变,基础与反应物理,核心概念,聚变装置与系统,5,core,无需上下文,附件论文/ITER/IAEA/资本研报
核聚变能,基础与反应物理,核心概念,聚变装置与系统,5,core,无需上下文,附件论文/ITER/IAEA/资本研报
聚变能源,基础与反应物理,核心概念,聚变装置与系统,5,core,无需上下文,附件论文/ITER/IAEA/资本研报
聚变能发电,基础与反应物理,核心概念,聚变装置与系统,5,core,无需上下文,附件论文/ITER/IAEA/资本研报
核聚变发电,基础与反应物理,核心概念,聚变装置与系统,5,core,无需上下文,附件论文/ITER/IAEA/资本研报
聚变电站,基础与反应物理,核心概念,聚变装置与系统,5,core,无需上下文,附件论文/ITER/IAEA/资本研报
聚变堆,基础与反应物理,核心概念,聚变装置与系统,5,core,无需上下文,附件论文/ITER/IAEA/资本研报
聚变反应堆,基础与反应物理,核心概念,聚变装置与系统,5,core,无需上下文,附件论文/ITER/IAEA/资本研报
热核聚变,基础与反应物理,核心概念,聚变装置与系统,5,core,无需上下文,附件论文/ITER/IAEA/资本研报
人造太阳,基础与反应物理,核心概念,聚变装置与系统,5,core,无需上下文,附件论文/ITER/IAEA/资本研报
燃烧等离子体,基础与反应物理,燃烧等离子体,聚变科学,5,core,无需上下文,附件论文/ITER/IAEA
聚变点火,基础与反应物理,燃烧等离子体,聚变科学,5,core,无需上下文,附件论文/ITER/IAEA
聚变增益,基础与反应物理,燃烧等离子体,聚变科学,5,core,无需上下文,附件论文/ITER/IAEA
能量增益因子,基础与反应物理,燃烧等离子体,聚变科学,5,core,无需上下文,附件论文/ITER/IAEA
聚变Q值,基础与反应物理,燃烧等离子体,聚变科学,5,core,无需上下文,附件论文/ITER/IAEA
劳逊判据,基础与反应物理,燃烧等离子体,聚变科学,5,core,无需上下文,附件论文/ITER/IAEA
三乘积,基础与反应物理,燃烧等离子体,聚变科学,5,core,无需上下文,附件论文/ITER/IAEA
自持燃烧,基础与反应物理,燃烧等离子体,聚变科学,5,core,无需上下文,附件论文/ITER/IAEA
阿尔法粒子自加热,基础与反应物理,燃烧等离子体,聚变科学,5,core,无需上下文,附件论文/ITER/IAEA
聚变燃烧控制,基础与反应物理,燃烧等离子体,聚变科学,5,core,无需上下文,附件论文/ITER/IAEA
氘氚聚变,基础与反应物理,聚变反应路线,聚变科学,5,core,无需上下文,附件论文/IAEA/科研论文
D-T聚变,基础与反应物理,聚变反应路线,聚变科学,5,core,无需上下文,附件论文/IAEA/科研论文
氘氘聚变,基础与反应物理,聚变反应路线,聚变科学,5,core,无需上下文,附件论文/IAEA/科研论文
D-D聚变,基础与反应物理,聚变反应路线,聚变科学,5,core,无需上下文,附件论文/IAEA/科研论文
氘氦三聚变,基础与反应物理,聚变反应路线,聚变科学,5,core,无需上下文,附件论文/IAEA/科研论文
D-He3聚变,基础与反应物理,聚变反应路线,聚变科学,5,core,无需上下文,附件论文/IAEA/科研论文
质子硼聚变,基础与反应物理,聚变反应路线,聚变科学,5,core,无需上下文,附件论文/IAEA/科研论文
p-B11聚变,基础与反应物理,聚变反应路线,聚变科学,5,core,无需上下文,附件论文/IAEA/科研论文
硼质子聚变,基础与反应物理,聚变反应路线,聚变科学,5,core,无需上下文,附件论文/IAEA/科研论文
无中子聚变,基础与反应物理,聚变反应路线,聚变科学,5,core,无需上下文,附件论文/IAEA/科研论文
低中子聚变,基础与反应物理,聚变反应路线,聚变科学,5,core,无需上下文,附件论文/IAEA/科研论文
聚变燃料,基础与反应物理,聚变燃料,燃料循环,4,core,无需上下文,附件论文/ITER/IAEA
氘氚燃料,基础与反应物理,聚变燃料,燃料循环,4,core,无需上下文,附件论文/ITER/IAEA
氘氚混合物,基础与反应物理,聚变燃料,燃料循环,4,core,无需上下文,附件论文/ITER/IAEA
重氢燃料,基础与反应物理,聚变燃料,燃料循环,4,core,无需上下文,附件论文/ITER/IAEA
