第一申请人,第一申请人地区,第一申请人城市,first_year,last_year,biomanufacturing_patent_count,biomanufacturing_score_sum,biomanufacturing_score_mean,biomanufacturing_score_max,evidence_score_sum,evidence_score_mean,core_score_mean,core_score_max,main_categories,main_sub_categories,industry_segments,matched_terms,first_applicant_types,firm_main_category,firm_main_sub_category,firm_main_industry_segment
BIOC3公司,法国,,2024,2024,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,丙酮酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
CJ第一制糖株式会社,韩国,,2024,2025,24,35,1.4583333333333333,4,48,2.0,1.4583333333333333,4,产品与应用；生物过程与规模化,发酵工程；氨基酸与有机酸发酵产品；生物反应器；高值活性分子,应用产品；生产制造,丙氨酸；丙酮酸；微生物发酵；替代蛋白；柠檬酸；核苷酸；生物反应器；生物发酵；生物转化；甲硫氨酸；精氨酸；膜分离；苏氨酸；葡萄糖酸；蛋氨酸；谷氨酸；赖氨酸,"企业；企业,学校",产品与应用,氨基酸与有机酸发酵产品,应用产品
FMC公司,美国,,2025,2025,1,2,2.0,2,3,3.0,2.0,2,产品与应用,平台化合物,应用产品,琥珀酸；色素生物合成,企业,产品与应用,平台化合物,应用产品
GS 加德士,韩国,,2024,2024,1,3,3.0,3,4,4.0,3.0,3,原料与低碳路线,非粮生物质,原料层,丙酮酸；木质纤维素；纤维素糖,个人,原料与低碳路线,非粮生物质,原料层
IFP新能源公司,法国,,2024,2024,2,7,3.5,4,7,3.5,3.5,4,DNA/RNA读写编辑；原料与低碳路线,基因与基因组编辑；非粮生物质,原料层；底层工具,CRISPR；基因编辑；木质纤维素,"企业；企业,科研单位",原料与低碳路线,非粮生物质,原料层
I·A·路易斯,加拿大,,2025,2025,1,4,4.0,4,4,4.0,4.0,4,计算设计与AI,多组学与系统建模,底层工具,代谢组学,个人,计算设计与AI,多组学与系统建模,底层工具
KS试验研究株式会社,韩国,,2025,2025,1,4,4.0,4,4,4.0,4.0,4,酶与蛋白质工程,生物催化,生产制造,生物转化,"个人,企业",酶与蛋白质工程,生物催化,生产制造
LAC2生物群系有限公司,意大利,,2024,2024,2,2,1.0,1,2,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品；重组药物与生物活性原料,应用产品,丙酸；透明质酸,企业,产品与应用,重组药物与生物活性原料,应用产品
NST生物股份有限公司,韩国,,2025,2025,1,4,4.0,4,4,4.0,4.0,4,酶与蛋白质工程,生物催化,生产制造,生物转化,企业,酶与蛋白质工程,生物催化,生产制造
R·S·凡塔纳,罗马尼亚,,2024,2024,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,谷氨酸,个人,产品与应用,氨基酸与有机酸发酵产品,应用产品
SCM生命科学有限公司,韩国,,2024,2024,1,1,1.0,1,1,1.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,胶原蛋白,企业,产品与应用,重组药物与生物活性原料,应用产品
SK新技术株式会社,韩国,,2024,2025,5,8,1.6,2,10,2.0,1.6,2,产品与应用,氨基酸与有机酸发酵产品；高值活性分子,应用产品,丙酮酸；核苷酸；甲硫氨酸,企业,产品与应用,高值活性分子,应用产品
T&R碧欧法博有限公司,韩国,,2024,2024,2,8,4.0,4,9,4.5,4.0,4,前沿生物制造,3D生物打印,前沿制造,3D生物打印；三维生物打印；生物墨水；肝素；透明质酸,企业,前沿生物制造,3D生物打印,前沿制造
Z生命科学公司,美国,,2025,2025,1,4,4.0,4,6,6.0,4.0,4,代谢工程与细胞工厂,表达系统,技术平台,核苷酸；组成型表达,企业,代谢工程与细胞工厂,表达系统,技术平台
一力制药(罗定)有限公司,中国,云浮,2025,2025,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,下游分离纯化,生产制造,膜过滤,企业,生物过程与规模化,下游分离纯化,生产制造
一力制药(罗定)有限公司,中国,云浮市,2021,2021,1,3,3.0,3,4,4.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐；精氨酸,企业,生物过程与规模化,生物反应器,生产制造
丁利华,中国,杭州市,2021,2021,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,"个人,科研单位",生物过程与规模化,生物反应器,生产制造
丁骞,中国,六安市,2023,2023,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,微生物发酵；生物发酵,个人,生物过程与规模化,发酵工程,生产制造
七星柠檬科技有限公司,中国,临沂,2024,2024,3,12,4.0,4,21,7.0,4.0,4,生物过程与规模化,发酵工程,生产制造,发酵罐；微生物发酵；生物发酵,企业,生物过程与规模化,发酵工程,生产制造
万京(广东)生物技术有限公司,中国,江门,2024,2024,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,下游分离纯化,生产制造,膜过滤,企业,生物过程与规模化,下游分离纯化,生产制造
