专利名称,专利类型,申请人,申请人类型,申请人地区,申请人城市,公开公告年份,IPC主分类号,摘要文本,主权项内容,被引证次数,year,第一申请人,第一申请人类型,第一申请人地区,第一申请人城市,quantum_score_raw,quantum_score,core_score,matched_terms,matched_core_terms,matched_conditional_terms,matched_supply_terms,matched_application_terms,matched_timefreq_terms,inactive_terms_no_context,negative_terms,main_category,chain_position,category_scores,source_types,relevance,is_quantum_patent,来源文件年份,来源分块
一种量子密钥分发系统的同步方法及装置,发明授权,科大国盾量子技术股份有限公司,企业,中国,合肥市,2021.0,H04L9/08,本发明提供一种量子密钥分发系统的同步方法，该量子密钥分发系统为双工QKD系统，双工QKD系统QKD设备_L和QKD设备_R的发送端Alice能够分别发出两种波长不同的同步光，发送的同步光在同一条光纤链路中传输，使光纤链路上同时运行两条QKD链路时，两条链路上的同步光波长不同，QKD设备_L和QKD设备_R的接收端Bob采用光滤波器件，将同步光分离，再采用相应的甄别器对同步光进行甄别。本发明还提供一种量子密钥分发系统的同步装置。本发明的优点在于：双工QKD系统两端分别采用不同波长的同步光，解决了由于同步光反射导致双工QKD系统不能全双工运行的问题，并且设备操作简单方便，便于批量生产。,1.一种量子密钥分发系统的同步方法，该量子密钥分发系统为双工QKD系统，每一端均包含了Alice和Bob，能够同时建立两条QKD链路，信号光从QKD设备_L的发送端Alice传输至QKD设备_R的接收端Bob，同时也能够从QKD设备_R的Alice传输至QKD设备_L的Bob，双工QKD系统的两端QKD设备之间能够在光纤链路上同时运行两条QKD工作链路，是一个单向、全双工的过程，其特征在于：双工QKD系统QKD设备_L和QKD设备_R的发送端Alice能够分别发出两种波长不同的同步光，发送的同步光在同一条光纤链路中传输，使光纤链路上同时运行两条QKD链路时，两条链路上的同步光波长不同，QKD设备_L和QKD设备_R的接收端Bob采用相应的甄别器对同步光进行甄别。,,2021,科大国盾量子技术股份有限公司,企业,中国,合肥市,5,5,5,QKD；量子密钥；量子密钥分发,QKD；量子密钥；量子密钥分发,,,,,,,量子通信与安全,量子通信与安全,{'量子通信与安全': 5},PDF直接词,中相关,1,2021,1
量子密码网络可靠加密传输系统及方法,发明授权,山东量子科学技术研究院有限公司,企业,中国,济南市,2021.0,H04L9/08,本发明提供一种量子密码网络可靠加密传输系统，包括由加密策略单元、业务数据缓冲分流单元、经典加密单元及量子加密单元组成的加密处理模块，和由密文分类单元、密文数据缓冲单元、经典解密单元及量子解密单元组成的解密处理模块。同时，本发明还提供一种量子密码网络可靠加密传输方法，对业务数据采用经典加密方式和量子一次一密加密方式进行分流传输，可以及时地根据量子密钥供求关系的变化，而相应地改变业务数据分流比例，在保证安全性的基础上，增加了业务数据加密传输的连续性，提高了业务数据加密传输的可靠性；同时，降低了量子密钥数据的消耗量，降低了量子密码网络量子密钥生成负荷，降低了量子密码网络业务数据加密传输的成本。。来源：马 克 数 据 网,"1.一种量子密码网络可靠加密传输系统，包括加密处理模块和解密处理模块，其特征在于，所述加密处理模块包括：
加密策略单元，周期性地收集反映量子密钥供求程度的加密相关信息，结合预置的加密策略，生成加密分流策略数据，将加密分流策略数据发送给业务数据缓冲分流单元、量子加密单元和经典加密单元；所述加密分流策略数据包括业务数据包属性及其对应的加密方式；
业务数据缓冲分流单元，缓冲需要加密的明文业务数据包，给业务数据包添加属性标签，根据加密分流策略数据，将相应属性标签的业务数据包发送给量子加密单元或经典加密单元；
量子加密单元，使用量子一次一密加密方式对业务数据包及加密分流策略数据加密；
经典加密单元，根据加密分流策略数据，使用经典加密方式对相应属性标签的业务数据包加密；
所述解密处理模块包括：
密文分类单元，将密文业务数据包发送给密文数据缓冲单元，将采用量子一次一密加密方式的加密分流策略数据发送给量子解密单元；
密文数据缓冲单元，缓冲从密文分类单元收到的密文业务数据包，并根据从量子解密单元收到的解密后的加密分流策略数据，将相应属性标签的密文业务数据包发送给量子解密单元或经典解密单元；
量子解密单元，解密采用量子一次一密加密方式的加密分流策略数据和密文业务数据包，并将解密后的加密分流策略数据发送给密文数据缓冲单元和经典解密单元；
经典解密单元，根据加密分流策略数据，为相应属性标签的密文业务数据包进行解密。",,2021,山东量子科学技术研究院有限公司,企业,中国,济南市,5,5,5,量子密钥,量子密钥,,,,,,,量子通信与安全,量子通信与安全,{'量子通信与安全': 5},PDF直接词,中相关,1,2021,1
第一量子节点、第二量子节点、安全通信架构系统及方法,发明授权,中兴通讯股份有限公司,企业,中国,深圳市,2021.0,H04L9/08,本发明公开了一种第一量子节点、第二量子节点、安全通信网络架构系统、业务密钥传输方法及路由切换方法，其中，所述第一量子节点，用于与相邻的第二量子节点通过量子信道的协商生成量子密钥对，以根据所述量子密钥对将接入用户业务数据的业务密钥进行加解密处理，得到处理后的数据包；将所述处理后的数据包按照路由协议通过经典信道传输给相邻的第二量子节点。,"1.一种第一量子节点，其特征在于，包括：
量子通信模块，用于与相邻的第二量子节点通过量子信道的协商生成量子密钥对，以根据所述量子密钥对将接入用户业务数据的业务密钥进行加解密处理，得到处理后的数据包，其数据格式为目的地址|源地址|第一量子节点|第二量子节点|...|当前量子节点|加密信息；
接入与路由模块，用于将所述处理后的数据包按照路由协议通过经典信道传输给相邻的第二量子节点；
所述第一量子节点是量子接入网关QAG，所述第二量子节点是量子中继路由器QRR；所述第一量子节点部署在电信级量子密钥分发QKD网络的接入层；所述第二量子节点部署在电信级QKD网络的核心层；所述电信级QKD网络分为3层，即接入层、汇聚层和核心层，所述汇聚层部署有光端口交换路由器OSR；
所述接入与路由模块，进一步用于相邻的每两个量子节点按照解析所述处理后的数据包得到的数据格式进行路由切换，包括：
用户A有一个业务密钥S要发给用户B时，发出数据包的格式为：B|A|S；
当前量子节点QAG1收到所述数据包，解析出其数据格式为所述B|A|S，针对目的地址B计算路由，得到下一跳量子节点的地址是QRR1，查询QAG1与QRR1之间的第一量子密钥是K1，用K1对S做加密运算，得到第一加密数据包SʌK1，数据格式为B|A|QAG1|SʌK1，QAG1将所述SʌK1发给下一跳量子节点QRR1；
QRR1收到所述SʌK1，解析出其数据格式为所述B|A|QAG1|SʌK1，查询上一跳量子节点QAG1与QRR1的第一量子密钥是K1，针对目的地址B计算路由，得到下一跳量子节点的地址是QRR2，查询QRR1与QRR2之间的第二量子密钥是K2，对SʌK1用K1做解密再用K2做加密，得到第三加密数据包SʌK2，其数据格式为B|A|QAG1|QRR1|SʌK2，QRR1将所述SʌK2发给下一跳量子节点QRR2；
QRR2收到所述SʌK2，解析出其数据格式为所述B|A|QAG1|QRR1|SʌK2，查询上一跳量子节点QRR1与QRR2的第二量子密钥是K2，针对目的地址B计算路由，得到下一跳量子节点的地址是QAG2，查询QRR2与QAG2之间的第三量子密钥是K3，对SʌK2用K2做解密再用K3做加密，得到第五加密数据包SʌK3，其数据格式为B|A|QAG1|QRR1|QRR2|SʌK3，QRR2将所述SʌK3发给下一跳量子节点QAG2；
QAG2收到所述SʌK3，解析出其数据格式为所述B|A|QAG1|QRR1|QRR2|SʌK3，查询上一跳量子节点QRR2与QAG2的第三量子密钥是K3，用K3对SʌK3解密得到初始业务密钥S，将S分发给用户B；
所述接入与路由模块，进一步用于当网络中量子节点之间的信道出现问题，需要进行链路切换，重新计算路由得到新的下一跳量子节点。",,2021,中兴通讯股份有限公司,企业,中国,深圳市,15,15,15,QKD；量子中继；量子密钥；量子密钥分发；量子通信,QKD；量子中继；量子密钥；量子密钥分发；量子通信,,,,,,,量子通信与安全,量子通信与安全,{'量子通信与安全': 15},PDF直接词；PDF直接词/PDF支持扩展,高相关,1,2021,1
一种风电场短期风速预测方法和系统,发明授权,华北电力大学(保定),学校,中国,保定市,2021.0,G06Q10/04,本发明实施例公开了一种风电场短期风速预测方法和系统，方法包括：识别并按照第一预设变换分解当前含噪风速混沌时间序列，得到多个固有模态函数分量；构建针对各固有模态函数分量的预设参数，调用预设算法对所述预设参数进行估计，得到参数集；基于所述参数集更新所述各固有模态函数分量，并选取与各最新固有模态函数分量匹配的方案集和属性集；对所述各最新固有模态函数分量进行预测，并依据预设准则计算各最新固有模态函数分量相应的最优多属性决策预测值；组合所述最优多属性决策预测值，并按照所述第一预设变换的反变换计算当前风速预测值。应对复杂多变的风电场短期风速变化情况，提高了预测准确性。,"1.一种风电场短期风速预测方法，其特征在于，包括：
识别并按照第一预设变换分解当前含噪风速混沌时间序列，得到多个固有模态函数分量；
构建针对各固有模态函数分量的预设参数，调用预设算法对所述预设参数进行估计，得到参数集；
其中，构建针对各固有模态函数分量的预设参数包括：
抓取与所述各固有模态函数分量对应的第一参数和第二参数，所述第一参数为嵌入维数m，所述第二参数为时间延迟τ；
构建所述第一参数与第二参数在高维相空间中信息熵优化模型；
调用预设算法对所述预设参数进行估计包括：利用基于量子并行特性的粒子群优化算法对所述第一参数与第二参数进行估计；
基于所述参数集更新所述各固有模态函数分量，并选取与各最新固有模态函数分量匹配的方案集和属性集；
按照所述方案集和属性集的预测方法，分别对所述各最新固有模态函数分量进行预测，并依据预设准则计算各最新固有模态函数分量相应的最优多属性决策预测值；
组合各最新固有模态函数分量相应的最优多属性决策预测值，并按照所述第一预设变换的反变换计算当前风速预测值；
按照所述方案集和属性集的预测方法，分别对所述各最新固有模态函数分量进行预测，包括：
按照所述方案集和属性集的预测方法，分别对所述各最新固有模态函数分量计算单项方案的预测误差相关性；
依据预设准则计算各最新固有模态函数分量相应的最优多属性决策预测值包括：
依据离差最大化准则计算各最新固有模态函数分量相应的最优多属性决策预测值。    马 克 数 据 网",1.0,2021,华北电力大学(保定),学校,中国,保定市,4,4,4,量子并行,量子并行,,,,,,,量子计算,量子软件/算法/模拟,{'量子计算': 4},PDF直接词,低相关/待复核,1,2021,1
相位调制偏振编码的高速量子密钥分发系统,发明授权,上海朗研光电科技有限公司; 华东师范大学,"企业,学校",中国,上海市,2021.0,H04L9/08,本发明提供了一种相位调制偏振编码的高速量子密钥分发系统，其包括：用于产生随机数，并且记录这些产生的随机数，用于驱动强度调制器、相位调制器的发送方FPGA芯片；用于实现收发双方的时钟保持一致的时钟信号用于作为光源的激光器；用于接收FPGA发送的随机数信号，产生不同的调制强度，形成诱骗态的强度调制器；用于将激光脉冲进行分束的第一偏振分束器等。本发明改进了传统的量子通信发送端，采用单一的激光光源，减小了各激光器的差异性引入的噪声以及抖动，减少了发送端的器件个数，简化了光路的复杂程度，减小了时钟抖动带来的误码率，改善了以往冗余的光路结构，简化了系统，节约了成本。,1.一种相位调制偏振编码的高速量子密钥分发系统，其特征在于，其包括：发送方FPGA芯片，同时与时钟信号、激光器、强度调制器连接，用于产生随机数，并且记录这些产生的随机数，用于驱动强度调制器和相位调制器；时钟信号，与1570nm激光器连接，用于实现收发双方的时钟保持一致；激光器，与强度调制器连接，用于作为光源；强度调制器，与第一偏振分束器连接，用于接收FPGA发送的随机数信号，产生不同的调制强度，形成诱骗态；第一偏振分束器，与环形器连接，用于将激光脉冲进行分束；环行器，同时连接第一偏振分束器、Sagnac环单光子偏振调制器，用于将进入其任一端口的激光，按照由静偏磁场确定的方向顺序传入下一个端口；Sagnac环单光子偏振调制器，与衰减器连接，用于对单光子序列进行偏振编码及诱骗态调制；1570nm激光器，与波分复用器连接，用于提供稳定的光源，使得时钟信号和量子信号在同一根光纤之中传输；波分复用器，与衰减器连接，用于实现多个单向信号或双向信号的传送；解波分复用器，同时与波分复用器与耦合器连接，用于将信号和时钟分开；耦合器，同时与第一电偏振控制器、第二电偏振控制器连接，用于随机选择单光子的探测通道；第一电偏振控制器，同时与接收方FPGA芯片与第三偏振分束器连接，用于作为起偏器，调节偏振状态；第二电偏振控制器，同时与接收方FPGA芯片与第四偏振分束器连接，用于作为起偏器，调节偏振状态；第三偏振分束器，同时与第一单光子探测器与第二单光子探测器连接，用于作为检偏器，探测传输到接收端的单光子信号的偏振状态；第四偏振分束器，同时与第三单光子探测器与第四单光子探测器连接，用于作为检偏器，探测传输到接收端的单光子信号的偏振状态；第一单光子探测器、第二单光子探测器、第三单光子探测器、第四单光子探测器，都与接收方FPGA芯片连接，都用于探测接收到的单光子，同时在收发双方以FPGA为核心，进行数据的分析采样，时钟的校验对齐，以及密钥的准确生成；接收方FPGA芯片，用于探测接收脉冲信号；其中Sagnac环单光子偏振调制器包括：随机调制信号，用于使电路板上所输出的电压合路；相位调制器，用于调制产生四种偏振态和包含三种诱骗态的单光子；法拉第旋转器，用于通过改变周围磁场的方向改变旋转角度；第二偏振分束器，用于将激光脉冲进行分束。,,2021,上海朗研光电科技有限公司,"企业,学校",中国,上海市,14,14,10,单光子探测器；激光器；量子密钥；量子密钥分发；量子通信,量子密钥；量子密钥分发；量子通信,,单光子探测器；激光器,,,,,量子通信与安全,量子通信与安全,"{'量子通信与安全': 10, '上游材料与核心部件': 4}",PDF直接词；PDF直接词/PDF支持扩展,高相关,1,2021,1
一种静止同步串联补偿器的选址定容方法,发明授权,全球能源互联网研究院; 国网天津市电力公司; 国家电网公司,企业,中国,北京市,2021.0,H02J3/18,本发明提供了一种静止同步串联补偿器的选址定容方法，包括：构建静止同步串联补偿器选址定容的目标函数，并确定选址定容的约束条件；采用灾变变速量子遗传算法计算目标函数的函数值，并比较种群中各个个体的目标函数值，进而确定最优的静止同步串联补偿器安装位置和注入电压幅值。与现有技术相比，本发明提供的一种静止同步串联补偿器的选址定容方法，从多个目标出发，在全网线路中搜索最佳线路和容量来安装静止同步串联补偿器，使电网经济性和稳定性综合水平有所提高。  微信公众号马克 数据网,"1.一种静止同步串联补偿器的选址定容方法，其特征在于，所述方法包括：
构建所述静止同步串联补偿器选址定容的目标函数，并确定所述选址定容的约束条件；
采用灾变变速量子遗传算法计算所述目标函数的函数值，比较种群中每个个体目标函数的函数值，确定最优的静止同步串联补偿器安装位置和注入电压幅值Usssc；
所述目标函数的表达式为：
其中，Ploss、ΔU和T分别为包含有静止同步串联补偿器的电力系统的有功网损、电压偏移率和负荷裕度，Ploss_ini、ΔUini和Tini分别为不包含有静止同步串联补偿器的电力系统的有功网损、电压偏移率和负荷裕度，w1、w2和w3均为权重，w1+w2+w3＝1；
所述确定最优的静止同步串联补偿器安装位置和注入电压幅值包括：
步骤1：确定量子染色体的编码方式，设定所述灾变变速量子遗传算法的初始参数，对不包含有静止同步串联补偿器的电力系统进行潮流计算；
所述初始参数包括种群规模popsize、最大进化代数genmax、染色体长度lchrom、染色体变异概率Pm和最优解不变时发生灾变的代数pregenM；
步骤2：对所述种群中各个量子染色体进行坍缩测量得到染色体二进制串；将所述染色体二进制串解码为两个十进制数，则所述两个十进制数分别为静止同步串联补偿器的安装位置和注入电压幅值；
步骤3：依据所述安装位置和注入电压幅值对包含有所述静止同步串联补偿器的电力系统进行潮流计算；依据所述步骤1和步骤3中潮流计算的结果计算目标函数的函数值；
步骤4：比较所述种群中每个个体目标函数的函数值，记录该种群的最优个体；
步骤5：对所述种群依次进行量子门更新、量子相干交叉和量子变异，并判断是否对所述种群进行量子灾变；
步骤6：判断所述种群的进化代数是否达到最大进化代数：
若达到，则步骤4得到的所述安装位置和注入电压幅值为最优的静止同步串联补偿器安装位置和注入电压幅值；
若没有达到，则返回步骤2。",,2021,全球能源互联网研究院,企业,中国,北京市,9,9,9,量子相干；量子门,量子相干；量子门,,,,,,,量子计算,量子计算系统,"{'量子计算': 5, '量子基础概念': 4}",PDF直接词,高相关,1,2021,1
基于四极杆线性离子阱串联质谱仪器的离子分离检测方法,发明授权,中国计量科学研究院,科研单位,中国,北京市,2021.0,H01J49/42,一种基于四极杆线性离子阱串联质谱仪器的离子分离检测方法，是先用四极杆筛选出感兴趣的样品离子(被监测离子)，将被监测离子注入线性离子阱(131)，等被监测离子进入线性离子阱(131)，采用边碰撞诱导解离被监测离子、边隔离保留被监测离子碎裂后的子离子(被监测离子的特征离子)，如此长时间的操作系列，能够高效富集被监测离子的碎裂子离子，从而实现对被监测离子的高效检测。该方法尤其适用于复杂基质中痕量物质(感兴趣目标物)的定性定量分析。  搜索马 克 数 据 网,"1.一种基于四极杆线性离子阱串联质谱仪器的离子分离检测方法，其特征在于，包括如下步骤：
S201，清洁离子源、离子管道和离子阱，调整质谱仪的真空系统和电气系统的参变量至初始状态，然后在离子源内装载好被测试样品基质；
S202，将被测试样品基质离子化，产生包括被测样品离子m在内的多个基质离子；
S203，打开离子门，基质离子被离子传输系统持续传输到四极杆系统；
S204，基质离子被预四极杆整形后传输到四极杆滤质系统，通过调整加载在四极杆系统上的射频电压，选取采样窗口的宽度为m‑Δm～m+Δm，使所述采样窗口范围内的离子被滤质四极杆系统传到后四极杆，其他离子排除掉；所述采样窗口范围内的离子被后四极杆整形后，持续进入线性离子阱；
S205，缩小所述采样窗口的宽度为m‑Δm1～m+Δm1，在线性离子阱中对离子m进行持续的粗隔离；同时对离子m进行持续粗隔离的同时对其进行诱导裂解，产生包括离子m的特征子离子m1和m2在内的多个产物离子；同时保持施加在线性离子阱X方向电极和Y方向电极上的射频电压与加载到四极杆系统上的射频电压相同，调节施加在X方向电极上的交流电压，所述交流电压的波形的频率成分包含10kHz～500kHz的频率成分；所述频率的间隔不大于500HZ，同时所述频率中不包含离子m及其特征子离子m1和m2在X方向的运动频率，从而使窗口宽度在m‑Δm1～m+Δm1范围、m1‑Δm1～m+Δm1范围和m2‑Δm1～m2+Δm1范围以外的其他离子在X方向上与所述频率发生共振从而排出线性离子阱，达到在线性离子阱内储存离子m及其特征子离子m1和m2的目的；
S206，执行步骤S205持续100ms～10s，关闭离子门，基质离子停止传输到四极杆系统；
S207，在线性离子阱内对离子m及其特殊子离子m1和m2进行离子分离检测，获得离子m及其特殊子离子m1和m2的信号强度信息；
S208，停止扫描，排空离子阱中所有离子。",,2021,中国计量科学研究院,科研单位,中国,北京市,5,5,5,离子阱,离子阱,,,,,,,量子计算硬件,量子计算硬件/量子芯片,{'量子计算硬件': 5},PDF直接词,中相关,1,2021,1
一种用于连续变量量子密钥分发中的长码私钥放大方法,发明授权,北京大学; 北京邮电大学,学校,中国,北京市,2021.0,H04L9/08,本发明提供一种用于连续变量量子密钥分发中的长码私钥放大方法。其实现步骤如下，步骤1：根据计算机的性能，计算最佳私钥放大长度和对应Toeplitz矩阵大小；步骤2：根据纠错后密钥长度和参数估计估计出的安全密钥长度，以及步骤1得出的计算机最佳私钥放大长度和Toeplitz矩阵大小，对纠错后的密钥和Toeplitz矩阵进行分块处理；步骤3：采用快速傅里叶变换与快速傅里叶逆变换的方法分别对步骤2分块以后的每块密钥和与之对应的Toeplitz矩阵之间的运算进行加速，然后将所有块的计算结果对应位相加即可得到最终的绝对安全的密钥。由于有限码长的限制，长距离时原始码长会非常大。本发明可以对长码进行私钥放大，可以有效利用计算和存储资源，提高效率。。 （来自 马克数据网）,"1.一种用于连续变量量子密钥分发中的长码私钥放大方法，包括如下步骤：
步骤1：根据计算机的性能，包括计算机CPU处理速度和内存大小，计算最佳的单次私钥放大长度m和Toeplitz矩阵大小m×l；可通过调整纠错后密钥长度和Toeplitz矩阵大小测试计算机单个进程能够处理的单次最佳私钥放大长度以及Toeplitz矩阵大小；其中计算机的内存不会全部分配给一个进程，因此要测试单个进程可分配的内存大小；
步骤2：根据连续变量量子密钥分发后处理中数据协调后密钥的长度n和参数估计估计出的安全密钥长度k，以及步骤1得出的计算机最佳私钥放大长度m和Toeplitz矩阵大小m×l，对纠错后的密钥和Toeplitz矩阵进行分块处理；分块的方法为：将长度为n的密钥分成p块，每块长度为m，满足n＝m×p；将大小为n×k的Toeplitz矩阵按行分成p块，每块m行，满足n＝m×p，按列分成q块，每块l列，满足k＝l×q；
步骤3：采用快速傅里叶变换(FFT)与快速傅里叶逆变换(IFFT)的方法分别对步骤2分块以后的每块密钥ci(ci为纠错后密钥分块处理后的第i块密钥，i＝1, 2...p)和与之对应的Toeplitz矩阵Tij(Tij是对大小为n×k的Toeplitz按行分成p块，按列分成q块后的第ij个子矩阵，i＝1, 2...p，j＝1, 2...q)之间的向量与矩阵乘法运算进行加速，即对所有的i＝1,    （macrodatas.cn） （来 自 马 克 数 据 网）",,2021,北京大学,学校,中国,北京市,5,5,5,量子密钥；量子密钥分发,量子密钥；量子密钥分发,,,,,,,量子通信与安全,量子通信与安全,{'量子通信与安全': 5},PDF直接词,中相关,1,2021,1
一种基于量子通信的骨干网系统及其中继方法,发明授权,科大国盾量子技术股份有限公司; 山东量子科学技术研究院有限公司,企业,中国,合肥市,2021.0,H04L9/08,本发明涉及一种基于量子通信的骨干网系统及其中继方法，该方法使骨干网中所有城域网的接入节点之间预先按照某种策略进行密钥中继，实现所有城域网的接入节点之间直接使用中继密钥进行保密通信；为所述接入节点与中继节点至少设置一个服务器端，所述接入节点定时向其他接入节点自动发起中继；所述接入节点与中继节点各自的密钥管理终端定时将计算的密钥量上报至与其连接的服务器端；所述服务器端根据共享的密钥量类型不同分别生成量子路由表与中继路由表，并计算路径密钥量下发至所述接入节点与中继节点，各个接入节点根据从服务器端获取的路由表与路径密钥量进行自动中继。,"1.一种基于量子通信的骨干网系统，该系统包括：
接入节点，所述接入节点被配置成将城域网接入量子通信骨干网的设备或虚拟设备；
中继节点，所述中继节点被配置成连接相邻接入节点的设备或虚拟设备；所述接入节点与所述中继节点之间通过经典通信信道、量子信道通信连接；
服务器端，所述服务器端被配置成接收接入节点和中继节点计算的量子密钥量控制所述接入节点和中继节点中量子密钥分发过程、生成量子路由表和计算量子路径密钥量，并且将量子路由表和量子路径密钥量下发至接入节点和中继节点，以及接收接入节点计算的中继密钥量生成中继路由表和计算中继路径密钥量，并且将中继路由表和中继路径密钥量下发至接入节点；
相邻所述接入节点之间通过至少一个所述中继节点进行连接；所述接入节点和所述中继节点与至少一个服务器端连接。",,2021,科大国盾量子技术股份有限公司,企业,中国,合肥市,10,10,10,量子密钥；量子密钥分发；量子通信,量子密钥；量子密钥分发；量子通信,,,,,,,量子通信与安全,量子通信与安全,{'量子通信与安全': 10},PDF直接词；PDF直接词/PDF支持扩展,高相关,1,2021,1
一种信息处理方法及装置,发明授权,华为技术有限公司,企业,中国,深圳市,2021.0,H04L9/08,一种信息处理方法及装置，该信息处理方法包括：第一站点接收光子源发送的多个脉冲，所述多个脉冲包含信号态脉冲和诱骗态脉冲，所述信号态脉冲中的光子数与所述诱骗态脉冲中的光子数概率分布不同，所述多个脉冲中的光子携带密钥信息；所述第一站点计算所述多个脉冲中受到光子数PNS攻击的包含多光子的脉冲的数量占所述多个脉冲的总数量的比例估计值；若所述比例估计值小于预设阈值，则所述第一站点根据所述比例估计值对所述密钥信息进行纠错处理，获得所述第一站点和所述第二站点的共享密钥。通过本发明可以估算出光子受到PNS攻击的程度，从而对密钥信息进行纠错，提高密钥分发的安全性。,"1.一种信息处理方法，应用于第一站点与第二站点的纠缠态量子密钥分发通信中，其特征在于，包括：
第一站点接收光子源发送的多个脉冲，所述多个脉冲包含信号态脉冲和诱骗态脉冲，所述信号态脉冲中的光子数与所述诱骗态脉冲中的光子数概率分布不同，所述多个脉冲中的光子携带密钥信息；
所述第一站点计算所述多个脉冲中信号态脉冲的第一探测增益；所述第一探测增益为所述第一站点和所述第二站点均在相同信号态脉冲中探测到光子的脉冲数量与所述光子源发送的信号态脉冲的总数量之间的比值；
所述第一站点计算所述多个脉冲中诱骗态脉冲的第二探测增益；所述第二探测增益为所述第一站点和所述第二站点均在相同诱骗态脉冲中探测到光子的脉冲数量与所述光子源发送的诱骗态脉冲的总数量之间的比值；
所述第一站点根据所述第一探测增益、所述第二探测增益、所述信号态脉冲中产生多个光子对的概率以及所述诱骗态脉冲中产生多个光子对的概率，计算所述多个脉冲中受到光子数PNS攻击的包含多光子的脉冲的数量占所述多个脉冲的总数量的比例估计值；
若所述比例估计值小于预设阈值，则所述第一站点根据所述比例估计值对所述密钥信息进行纠错处理，获得所述第一站点和所述第二站点的共享密钥。",,2021,华为技术有限公司,企业,中国,深圳市,5,5,5,量子密钥；量子密钥分发,量子密钥；量子密钥分发,,,,,,,量子通信与安全,量子通信与安全,{'量子通信与安全': 5},PDF直接词,中相关,1,2021,1
