关键词,技术领域,细分方向,产业板块,核心程度得分,匹配类型,上下文要求,来源类型
6G,基础概念与标准体系,领域锚点,系统与平台,1,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/3GPP
6G技术,基础概念与标准体系,领域锚点,系统与平台,1,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/3GPP
第六代移动通信,基础概念与标准体系,领域锚点,系统与平台,1,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/3GPP
第六代移动通信技术,基础概念与标准体系,领域锚点,系统与平台,1,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/3GPP
第六代蜂窝通信,基础概念与标准体系,领域锚点,系统与平台,1,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/3GPP
下一代移动通信6G,基础概念与标准体系,领域锚点,系统与平台,1,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/3GPP
IMT-2030,基础概念与标准体系,领域锚点,系统与平台,1,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/3GPP
IMT 2030,基础概念与标准体系,领域锚点,系统与平台,1,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/3GPP
Beyond 5G,基础概念与标准体系,领域锚点,系统与平台,1,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/3GPP
B5G,基础概念与标准体系,领域锚点,系统与平台,1,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/3GPP
Pre-6G,基础概念与标准体系,领域锚点,系统与平台,1,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/3GPP
6G通信系统,基础概念与标准体系,核心系统,系统与平台,5,core,无需上下文；领域锚点本身只给低分,两份附件/IMT-2030推进组
6G移动通信系统,基础概念与标准体系,核心系统,系统与平台,5,core,无需上下文；领域锚点本身只给低分,两份附件/IMT-2030推进组
6G无线通信系统,基础概念与标准体系,核心系统,系统与平台,5,core,无需上下文；领域锚点本身只给低分,两份附件/IMT-2030推进组
6G蜂窝通信系统,基础概念与标准体系,核心系统,系统与平台,5,core,无需上下文；领域锚点本身只给低分,两份附件/IMT-2030推进组
6G网络系统,基础概念与标准体系,核心系统,系统与平台,5,core,无需上下文；领域锚点本身只给低分,两份附件/IMT-2030推进组
6G无线系统,基础概念与标准体系,核心系统,系统与平台,5,core,无需上下文；领域锚点本身只给低分,两份附件/IMT-2030推进组
IMT-2030系统,基础概念与标准体系,核心系统,系统与平台,5,core,无需上下文；领域锚点本身只给低分,两份附件/IMT-2030推进组
第六代移动通信系统,基础概念与标准体系,核心系统,系统与平台,5,core,无需上下文；领域锚点本身只给低分,两份附件/IMT-2030推进组
6G端到端系统,基础概念与标准体系,核心系统,系统与平台,5,core,无需上下文；领域锚点本身只给低分,两份附件/IMT-2030推进组
6G融合通信系统,基础概念与标准体系,核心系统,系统与平台,5,core,无需上下文；领域锚点本身只给低分,两份附件/IMT-2030推进组
6G万物智联,基础概念与标准体系,总体愿景,系统与平台,5,core,无需上下文；领域锚点本身只给低分,两份附件/IMT-2030推进组
6G数字孪生,基础概念与标准体系,总体愿景,系统与平台,5,core,无需上下文；领域锚点本身只给低分,两份附件/IMT-2030推进组
6G人机物智慧互联,基础概念与标准体系,总体愿景,系统与平台,5,core,无需上下文；领域锚点本身只给低分,两份附件/IMT-2030推进组
6G虚实共生,基础概念与标准体系,总体愿景,系统与平台,5,core,无需上下文；领域锚点本身只给低分,两份附件/IMT-2030推进组
6G泛在互联,基础概念与标准体系,总体愿景,系统与平台,5,core,无需上下文；领域锚点本身只给低分,两份附件/IMT-2030推进组
6G智慧内生,基础概念与标准体系,总体愿景,系统与平台,5,core,无需上下文；领域锚点本身只给低分,两份附件/IMT-2030推进组
6G性能卓越,基础概念与标准体系,总体愿景,系统与平台,5,core,无需上下文；领域锚点本身只给低分,两份附件/IMT-2030推进组
6G绿色节能,基础概念与标准体系,总体愿景,系统与平台,5,core,无需上下文；领域锚点本身只给低分,两份附件/IMT-2030推进组
6G安全可信,基础概念与标准体系,总体愿景,系统与平台,5,core,无需上下文；领域锚点本身只给低分,两份附件/IMT-2030推进组
6G通信感知计算智能融合,基础概念与标准体系,总体愿景,系统与平台,5,core,无需上下文；领域锚点本身只给低分,两份附件/IMT-2030推进组
通感算智融合,基础概念与标准体系,总体愿景,系统与平台,5,core,无需上下文；领域锚点本身只给低分,两份附件/IMT-2030推进组
6G标准,基础概念与标准体系,标准与版本,标准与试验,4,core,无需上下文；领域锚点本身只给低分,TDIA2025/ITU/3GPP
6G标准化,基础概念与标准体系,标准与版本,标准与试验,4,core,无需上下文；领域锚点本身只给低分,TDIA2025/ITU/3GPP
6G技术规范,基础概念与标准体系,标准与版本,标准与试验,4,core,无需上下文；领域锚点本身只给低分,TDIA2025/ITU/3GPP
6G候选技术,基础概念与标准体系,标准与版本,标准与试验,4,core,无需上下文；领域锚点本身只给低分,TDIA2025/ITU/3GPP
IMT-2030框架,基础概念与标准体系,标准与版本,标准与试验,4,core,无需上下文；领域锚点本身只给低分,TDIA2025/ITU/3GPP
IMT-2030候选技术,基础概念与标准体系,标准与版本,标准与试验,4,core,无需上下文；领域锚点本身只给低分,TDIA2025/ITU/3GPP
