关键词,技术领域,细分方向,产业板块,核心程度得分,匹配类型,上下文要求,来源类型,来源说明,来源链接
生物制造,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,
工业生物制造,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,
先进生物制造,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,
绿色生物制造,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,
低碳生物制造,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,
合成生物制造,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,
微生物制造,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,
生物法制造,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,
生物制造技术,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,
合成生物学,生物制造基础,合成生物学,技术平台,5,core,无需上下文,两份报告直接词/公开研报补充,用户提供的两份生物制造相关报告,
工程生物学,生物制造基础,合成生物学,技术平台,5,core,无需上下文,两份报告直接词/公开研报补充,用户提供的两份生物制造相关报告,
工业合成生物学,生物制造基础,合成生物学,技术平台,5,core,无需上下文,两份报告直接词/公开研报补充,用户提供的两份生物制造相关报告,
合成生物技术,生物制造基础,合成生物学,技术平台,5,core,无需上下文,两份报告直接词/公开研报补充,用户提供的两份生物制造相关报告,
合成生物平台,生物制造基础,合成生物学,技术平台,5,core,无需上下文,两份报告直接词/公开研报补充,用户提供的两份生物制造相关报告,
合成生物制造平台,生物制造基础,合成生物学,技术平台,5,core,无需上下文,两份报告直接词/公开研报补充,用户提供的两份生物制造相关报告,
