第一申请人,第一申请人地区,第一申请人城市,year,biomanufacturing_patent_count,biomanufacturing_score_sum,biomanufacturing_score_mean,biomanufacturing_score_max,evidence_score_sum,evidence_score_mean,core_score_mean,core_score_max,main_categories,main_sub_categories,industry_segments,matched_terms,first_applicant_types
BIOC3公司,法国,,2024,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,丙酮酸,企业
CJ第一制糖株式会社,韩国,,2024,22,29,1.3181818181818181,3,35,1.5909090909090908,1.3181818181818181,3,产品与应用；生物过程与规模化,氨基酸与有机酸发酵产品；生物反应器；高值活性分子,应用产品；生产制造,丙氨酸；丙酮酸；替代蛋白；柠檬酸；核苷酸；生物反应器；甲硫氨酸；精氨酸；苏氨酸；葡萄糖酸；蛋氨酸；谷氨酸；赖氨酸,"企业；企业,学校"
CJ第一制糖株式会社,韩国,,2025,2,6,3.0,4,13,6.5,3.0,4,产品与应用；生物过程与规模化,发酵工程；高值活性分子,应用产品；生产制造,微生物发酵；核苷酸；生物发酵；生物转化；膜分离,企业
FMC公司,美国,,2025,1,2,2.0,2,3,3.0,2.0,2,产品与应用,平台化合物,应用产品,琥珀酸；色素生物合成,企业
GS 加德士,韩国,,2024,1,3,3.0,3,4,4.0,3.0,3,原料与低碳路线,非粮生物质,原料层,丙酮酸；木质纤维素；纤维素糖,个人
IFP新能源公司,法国,,2024,2,7,3.5,4,7,3.5,3.5,4,DNA/RNA读写编辑；原料与低碳路线,基因与基因组编辑；非粮生物质,原料层；底层工具,CRISPR；基因编辑；木质纤维素,"企业；企业,科研单位"
I·A·路易斯,加拿大,,2025,1,4,4.0,4,4,4.0,4.0,4,计算设计与AI,多组学与系统建模,底层工具,代谢组学,个人
KS试验研究株式会社,韩国,,2025,1,4,4.0,4,4,4.0,4.0,4,酶与蛋白质工程,生物催化,生产制造,生物转化,"个人,企业"
LAC2生物群系有限公司,意大利,,2024,2,2,1.0,1,2,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品；重组药物与生物活性原料,应用产品,丙酸；透明质酸,企业
NST生物股份有限公司,韩国,,2025,1,4,4.0,4,4,4.0,4.0,4,酶与蛋白质工程,生物催化,生产制造,生物转化,企业
R·S·凡塔纳,罗马尼亚,,2024,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,谷氨酸,个人
SCM生命科学有限公司,韩国,,2024,1,1,1.0,1,1,1.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,胶原蛋白,企业
