关键词,技术领域,细分方向,产业板块,核心程度得分,匹配类型,上下文要求,来源类型
脑机接口,基础概念与系统范式,领域锚点,系统与平台,1,core,无需上下文,两份附件直接词/中国信通院/工信部
脑-机接口,基础概念与系统范式,领域锚点,系统与平台,1,core,无需上下文,两份附件直接词/中国信通院/工信部
脑计算机接口,基础概念与系统范式,领域锚点,系统与平台,1,core,无需上下文,两份附件直接词/中国信通院/工信部
脑-计算机接口,基础概念与系统范式,领域锚点,系统与平台,1,core,无需上下文,两份附件直接词/中国信通院/工信部
脑机器接口,基础概念与系统范式,领域锚点,系统与平台,1,core,无需上下文,两份附件直接词/中国信通院/工信部
脑-机器接口,基础概念与系统范式,领域锚点,系统与平台,1,core,无需上下文,两份附件直接词/中国信通院/工信部
脑机交互,基础概念与系统范式,领域锚点,系统与平台,1,core,无需上下文,两份附件直接词/中国信通院/工信部
脑-机交互,基础概念与系统范式,领域锚点,系统与平台,1,core,无需上下文,两份附件直接词/中国信通院/工信部
脑机通信,基础概念与系统范式,领域锚点,系统与平台,1,core,无需上下文,两份附件直接词/中国信通院/工信部
脑机智能,基础概念与系统范式,领域锚点,系统与平台,1,core,无需上下文,两份附件直接词/中国信通院/工信部
BCI技术,基础概念与系统范式,领域锚点,系统与平台,1,core,无需上下文,两份附件直接词/中国信通院/工信部
脑机接口系统,基础概念与系统范式,核心系统,系统与平台,5,core,无需上下文,两份附件直接词/中国信通院/工信部
脑计算机接口系统,基础概念与系统范式,核心系统,系统与平台,5,core,无需上下文,两份附件直接词/中国信通院/工信部
脑机器接口系统,基础概念与系统范式,核心系统,系统与平台,5,core,无需上下文,两份附件直接词/中国信通院/工信部
脑机交互系统,基础概念与系统范式,核心系统,系统与平台,5,core,无需上下文,两份附件直接词/中国信通院/工信部
脑机通信系统,基础概念与系统范式,核心系统,系统与平台,5,core,无需上下文,两份附件直接词/中国信通院/工信部
BCI系统,基础概念与系统范式,核心系统,系统与平台,5,core,无需上下文,两份附件直接词/中国信通院/工信部
闭环脑机系统,基础概念与系统范式,核心系统,系统与平台,5,core,无需上下文,两份附件直接词/中国信通院/工信部
双向脑机系统,基础概念与系统范式,核心系统,系统与平台,5,core,无需上下文,两份附件直接词/中国信通院/工信部
脑机一体化系统,基础概念与系统范式,核心系统,系统与平台,5,core,无需上下文,两份附件直接词/中国信通院/工信部
脑神经接口,基础概念与系统范式,神经接口与神经工程,系统与平台,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,附件报告/FDA/科研机构
中枢神经接口,基础概念与系统范式,神经接口与神经工程,系统与平台,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,附件报告/FDA/科研机构
皮层神经接口,基础概念与系统范式,神经接口与神经工程,系统与平台,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,附件报告/FDA/科研机构
神经接口系统,基础概念与系统范式,神经接口与神经工程,系统与平台,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,附件报告/FDA/科研机构
神经工程接口,基础概念与系统范式,神经接口与神经工程,系统与平台,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,附件报告/FDA/科研机构
神经电子接口,基础概念与系统范式,神经接口与神经工程,系统与平台,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,附件报告/FDA/科研机构
神经-机器接口,基础概念与系统范式,神经接口与神经工程,系统与平台,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,附件报告/FDA/科研机构
神经机器接口,基础概念与系统范式,神经接口与神经工程,系统与平台,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,附件报告/FDA/科研机构
神经假体接口,基础概念与系统范式,神经接口与神经工程,系统与平台,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,附件报告/FDA/科研机构
脑控技术,基础概念与系统范式,脑控与意念交互,系统与平台,5,core,无需上下文,两份附件直接词/资本研报
脑控系统,基础概念与系统范式,脑控与意念交互,系统与平台,5,core,无需上下文,两份附件直接词/资本研报
脑控设备,基础概念与系统范式,脑控与意念交互,系统与平台,5,core,无需上下文,两份附件直接词/资本研报
脑控指令,基础概念与系统范式,脑控与意念交互,系统与平台,5,core,无需上下文,两份附件直接词/资本研报
