关键词,技术领域,细分方向,产业板块,核心程度得分,匹配类型,上下文要求,来源类型,来源说明,来源链接,说明
具身智能,具身智能基础,核心概念,技术服务,5,core,无需上下文,报告直接词,用户提供的两份具身智能报告,,
具身人工智能,具身智能基础,核心概念,技术服务,5,core,无需上下文,报告直接词,用户提供的两份具身智能报告,,
具身智能体,具身智能基础,核心概念,技术服务,5,core,无需上下文,报告直接词,用户提供的两份具身智能报告,,
具身AI,具身智能基础,核心概念,技术服务,5,core,无需上下文,报告直接词,用户提供的两份具身智能报告,,
物理智能,具身智能基础,核心概念,技术服务,5,core,无需上下文,报告直接词,用户提供的两份具身智能报告,,
具身系统,具身智能基础,核心概念,技术服务,5,core,无需上下文,报告直接词,用户提供的两份具身智能报告,,
感知-认知-决策-执行,具身智能基础,智能闭环,技术服务,5,core,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
感知—认知—决策—执行,具身智能基础,智能闭环,技术服务,5,core,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
感知认知决策执行,具身智能基础,智能闭环,技术服务,5,core,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
智能闭环,具身智能基础,智能闭环,技术服务,5,core,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
知行合一,具身智能基础,智能闭环,技术服务,5,core,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
身体交互,具身智能基础,智能闭环,技术服务,5,core,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
物理实体性,具身智能基础,智能闭环,技术服务,5,core,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
环境交互性,具身智能基础,智能闭环,技术服务,5,core,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
物理本体与环境交互,具身智能基础,智能闭环,技术服务,5,core,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
具身基础模型,具身智能基础,具身基础模型,技术服务,5,core,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
通用具身基础模型,具身智能基础,具身基础模型,技术服务,5,core,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
