关键词,技术领域,细分方向,产业板块,核心程度得分,匹配类型,上下文要求,来源类型
绿色氢能,基础与系统集成,核心概念,系统集成,5,core,无需上下文,附件报告直接词/国家能源局
绿氢,基础与系统集成,核心概念,系统集成,5,core,无需上下文,附件报告直接词/国家能源局
可再生氢,基础与系统集成,核心概念,系统集成,5,core,无需上下文,附件报告直接词/国家能源局
可再生能源氢,基础与系统集成,核心概念,系统集成,5,core,无需上下文,附件报告直接词/国家能源局
可再生能源制氢,基础与系统集成,核心概念,系统集成,5,core,无需上下文,附件报告直接词/国家能源局
清洁低碳氢,基础与系统集成,核心概念,系统集成,5,core,无需上下文,附件报告直接词/国家能源局
零碳氢,基础与系统集成,核心概念,系统集成,5,core,无需上下文,附件报告直接词/国家能源局
低碳氢能,基础与系统集成,核心概念,系统集成,5,core,无需上下文,附件报告直接词/国家能源局
电氢耦合,基础与系统集成,电氢耦合,系统集成,5,core,无需上下文,附件报告/国家能源局/资本研报
电-氢耦合,基础与系统集成,电氢耦合,系统集成,5,core,无需上下文,附件报告/国家能源局/资本研报
电力氢能耦合,基础与系统集成,电氢耦合,系统集成,5,core,无需上下文,附件报告/国家能源局/资本研报
新能源制氢,基础与系统集成,电氢耦合,系统集成,5,core,无需上下文,附件报告/国家能源局/资本研报
风电制氢,基础与系统集成,电氢耦合,系统集成,5,core,无需上下文,附件报告/国家能源局/资本研报
光伏制氢,基础与系统集成,电氢耦合,系统集成,5,core,无需上下文,附件报告/国家能源局/资本研报
风光制氢,基础与系统集成,电氢耦合,系统集成,5,core,无需上下文,附件报告/国家能源局/资本研报
风光氢一体化,基础与系统集成,电氢耦合,系统集成,5,core,无需上下文,附件报告/国家能源局/资本研报
源网荷储氢,基础与系统集成,电氢耦合,系统集成,5,core,无需上下文,附件报告/国家能源局/资本研报
源网荷储氢一体化,基础与系统集成,电氢耦合,系统集成,5,core,无需上下文,附件报告/国家能源局/资本研报
荷随源动,基础与系统集成,电氢耦合,系统集成,5,core,无需上下文,附件报告/国家能源局/资本研报
柔性制氢,基础与系统集成,电氢耦合,系统集成,5,core,无需上下文,附件报告/国家能源局/资本研报
电转氢,基础与系统集成,电转氢与PtX,系统集成,5,core,无需上下文,IEA/IRENA/资本研报
Power-to-Hydrogen,基础与系统集成,电转氢与PtX,系统集成,5,core,无需上下文,IEA/IRENA/资本研报
P2H,基础与系统集成,电转氢与PtX,系统集成,5,core,无需上下文,IEA/IRENA/资本研报
电转燃料,基础与系统集成,电转氢与PtX,系统集成,5,core,无需上下文,IEA/IRENA/资本研报
Power-to-X,基础与系统集成,电转氢与PtX,系统集成,5,core,无需上下文,IEA/IRENA/资本研报
PtX,基础与系统集成,电转氢与PtX,系统集成,5,core,无需上下文,IEA/IRENA/资本研报
电制燃料,基础与系统集成,电转氢与PtX,系统集成,5,core,无需上下文,IEA/IRENA/资本研报
电制氨醇,基础与系统集成,电转氢与PtX,系统集成,5,core,无需上下文,IEA/IRENA/资本研报
绿色氢氨醇,基础与系统集成,电转氢与PtX,系统集成,5,core,无需上下文,IEA/IRENA/资本研报
绿氢氨醇,基础与系统集成,电转氢与PtX,系统集成,5,core,无需上下文,IEA/IRENA/资本研报
氢能制储输用,基础与系统集成,制储输用一体化,系统集成,5,core,无需上下文,附件报告/国家能源局
制储输用一体化,基础与系统集成,制储输用一体化,系统集成,5,core,无需上下文,附件报告/国家能源局
制氢储氢输氢用氢,基础与系统集成,制储输用一体化,系统集成,5,core,无需上下文,附件报告/国家能源局
制储运加用,基础与系统集成,制储输用一体化,系统集成,5,core,无需上下文,附件报告/国家能源局
制储运用一体化,基础与系统集成,制储输用一体化,系统集成,5,core,无需上下文,附件报告/国家能源局
氢能全产业链,基础与系统集成,制储输用一体化,系统集成,5,core,无需上下文,附件报告/国家能源局
氢能全链条,基础与系统集成,制储输用一体化,系统集成,5,core,无需上下文,附件报告/国家能源局
电解水制氢,制氢,电解水制氢,制氢,5,core,无需上下文,附件报告/国家能源局/IEA
水电解制氢,制氢,电解水制氢,制氢,5,core,无需上下文,附件报告/国家能源局/IEA
可再生能源电解水制氢,制氢,电解水制氢,制氢,5,core,无需上下文,附件报告/国家能源局/IEA
绿电制氢,制氢,电解水制氢,制氢,5,core,无需上下文,附件报告/国家能源局/IEA
电解制氢,制氢,电解水制氢,制氢,5,core,无需上下文,附件报告/国家能源局/IEA
高压电解制氢,制氢,电解水制氢,制氢,5,core,无需上下文,附件报告/国家能源局/IEA
差压电解制氢,制氢,电解水制氢,制氢,5,core,无需上下文,附件报告/国家能源局/IEA
碱性水电解,制氢,碱性电解,制氢,5,core,无需上下文,附件报告/资本研报
碱性电解水,制氢,碱性电解,制氢,5,core,无需上下文,附件报告/资本研报
碱性电解槽,制氢,碱性电解,制氢,5,core,无需上下文,附件报告/资本研报
碱性制氢,制氢,碱性电解,制氢,5,core,无需上下文,附件报告/资本研报
ALK电解槽,制氢,碱性电解,制氢,5,core,无需上下文,附件报告/资本研报
ALK制氢,制氢,碱性电解,制氢,5,core,无需上下文,附件报告/资本研报
AWE电解槽,制氢,碱性电解,制氢,5,core,无需上下文,附件报告/资本研报
方形电解槽,制氢,碱性电解,制氢,5,core,无需上下文,附件报告/资本研报
圆形电解槽,制氢,碱性电解,制氢,5,core,无需上下文,附件报告/资本研报
加压碱性电解,制氢,碱性电解,制氢,5,core,无需上下文,附件报告/资本研报
质子交换膜电解水,制氢,PEM电解,制氢,5,core,无需上下文,附件报告/资本研报
质子交换膜制氢,制氢,PEM电解,制氢,5,core,无需上下文,附件报告/资本研报
质子交换膜电解槽,制氢,PEM电解,制氢,5,core,无需上下文,附件报告/资本研报
PEM电解槽,制氢,PEM电解,制氢,5,core,无需上下文,附件报告/资本研报
PEM制氢,制氢,PEM电解,制氢,5,core,无需上下文,附件报告/资本研报
PEMWE,制氢,PEM电解,制氢,5,core,无需上下文,附件报告/资本研报
聚合物电解质膜电解,制氢,PEM电解,制氢,5,core,无需上下文,附件报告/资本研报
阴离子交换膜电解水,制氢,AEM电解,制氢,5,core,无需上下文,附件报告/资本研报
阴离子交换膜制氢,制氢,AEM电解,制氢,5,core,无需上下文,附件报告/资本研报
阴离子交换膜电解槽,制氢,AEM电解,制氢,5,core,无需上下文,附件报告/资本研报
AEM电解槽,制氢,AEM电解,制氢,5,core,无需上下文,附件报告/资本研报
AEM制氢,制氢,AEM电解,制氢,5,core,无需上下文,附件报告/资本研报
AEMWE,制氢,AEM电解,制氢,5,core,无需上下文,附件报告/资本研报
固体氧化物电解制氢,制氢,高温固体氧化物电解,制氢,5,core,无需上下文,附件报告/资本研报
固体氧化物电解槽,制氢,高温固体氧化物电解,制氢,5,core,无需上下文,附件报告/资本研报
高温水蒸气电解,制氢,高温固体氧化物电解,制氢,5,core,无需上下文,附件报告/资本研报
高温电解制氢,制氢,高温固体氧化物电解,制氢,5,core,无需上下文,附件报告/资本研报
SOEC制氢,制氢,高温固体氧化物电解,制氢,5,core,无需上下文,附件报告/资本研报
SOEC电解槽,制氢,高温固体氧化物电解,制氢,5,core,无需上下文,附件报告/资本研报
可逆固体氧化物电池,制氢,高温固体氧化物电解,制氢,5,core,无需上下文,附件报告/资本研报
rSOC,制氢,高温固体氧化物电解,制氢,5,core,无需上下文,附件报告/资本研报
