关键词,技术领域,细分方向,产业板块,核心程度得分,匹配类型,上下文要求,来源类型,来源说明,来源链接,报告技术路线
生物制造,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
工业生物制造,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
先进生物制造,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
绿色生物制造,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
低碳生物制造,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
合成生物制造,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
微生物制造,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
生物法制造,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
生物制造技术,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
合成生物学,生物制造基础,合成生物学,技术平台,5,core,无需上下文,两份报告直接词/公开研报补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
工程生物学,生物制造基础,合成生物学,技术平台,5,core,无需上下文,两份报告直接词/公开研报补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
工业合成生物学,生物制造基础,合成生物学,技术平台,5,core,无需上下文,两份报告直接词/公开研报补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
合成生物技术,生物制造基础,合成生物学,技术平台,5,core,无需上下文,两份报告直接词/公开研报补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
合成生物平台,生物制造基础,合成生物学,技术平台,5,core,无需上下文,两份报告直接词/公开研报补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
合成生物制造平台,生物制造基础,合成生物学,技术平台,5,core,无需上下文,两份报告直接词/公开研报补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
SynBio,生物制造基础,合成生物学,技术平台,5,core,无需上下文,两份报告直接词/公开研报补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
工业生物技术,生物制造基础,工业生物技术,技术平台,5,core,无需上下文,2024报告/中科院公开方向,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
工业生物工程,生物制造基础,工业生物技术,技术平台,5,core,无需上下文,2024报告/中科院公开方向,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
工业微生物技术,生物制造基础,工业生物技术,技术平台,5,core,无需上下文,2024报告/中科院公开方向,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
工业微生物工程,生物制造基础,工业生物技术,技术平台,5,core,无需上下文,2024报告/中科院公开方向,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
生物过程工程,生物制造基础,工业生物技术,技术平台,5,core,无需上下文,2024报告/中科院公开方向,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
